satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
satisfied,Loyal Customer,32,Business travel,Business,2391,4,3,5,3,5,5,4,4,5,5,5,5,5,5,2,7
satisfied,Loyal Customer,55,Business travel,Business,534,4,5,4,3,3,4,5,5,4,4,4,5,5,2,0,0
satisfied,Disloyal Customer,51,Business travel,Eco,3544,2,2,3,2,2,5,2,2,2,3,2,2,4,3,3,0
neutral or dissatisfied,Disloyal Customer,22,Personal Travel,Eco,508,2,3,2,2,0,3,2,2,2,3,3,4,2,1,51,57
satisfied,Disloyal Customer,31,Personal Travel,Eco,366,3,4,3,3,1,3,3,3,3,2,2,2,2,3,0,0
satisfied,Disloyal Customer,23,Personal Travel,Eco,303,2,1,3,4,1,4,2,3,4,3,2,2,3,2,16,31
satisfied,Loyal Customer,38,Business travel,Business,1153,5,3,5,5,3,5,3,5,5,4,4,3,5,4,0,0
neutral or dissatisfied,Disloyal Customer,7,Personal Travel,Eco,1022,4,1,5,4,3,3,3,2,1,2,3,2,3,3,0,11
satisfied,Loyal Customer,43,Personal Travel,Eco,855,5,3,1,4,2,4,3,3,4,3,3,3,3,2,0,0
neutral or dissatisfied,Disloyal Customer,10,Personal Travel,Eco,936,2,5,3,4,0,4,2,3,0,2,1,2,3,3,4,8
satisfied,Loyal Customer,47,Personal Travel,Eco,1995,3,3,2,3,2,5,4,4,3,3,4,3,4,2,0,0
neutral or dissatisfied,Loyal Customer,50,Personal Travel,Eco,864,4,2,3,2,5,3,4,5,4,3,3,4,4,4,0,9
satisfied,Loyal Customer,36,Personal Travel,Eco,2015,3,4,2,2,4,3,4,3,3,3,4,2,4,3,0,0
satisfied,Loyal Customer,37,Personal Travel,Eco,1000,3,5,0,2,3,4,3,2,2,2,4,3,3,4,0,14
neutral or dissatisfied,Loyal Customer,47,Business travel,Eco,3181,4,4,2,3,2,4,3,5,3,3,4,3,3,3,0,1
neutral or dissatisfied,Loyal Customer,24,Business travel,Eco,978,5,2,5,4,0,2,5,5,3,2,3,2,3,5,0,7
satisfied,Loyal Customer,31,Business travel,Business,656,3,3,4,3,5,5,5,4,4,4,4,4,5,5,0,0
satisfied,Disloyal Customer,33,Business travel,Eco Plus,548,4,4,4,3,2,4,4,3,4,3,3,2,4,4,0,0
satisfied,Loyal Customer,22,Personal Travel,Eco,721,1,3,2,3,3,3,5,4,2,4,5,4,3,4,0,0
satisfied,Loyal Customer,36,Business travel,Business,4983,4,4,4,4,2,3,4,5,2,3,4,5,3,4,0,0
neutral or dissatisfied,Loyal Customer,20,Business travel,Eco Plus,2323,5,2,4,2,5,5,3,4,4,3,4,3,3,4,0,1
satisfied,Loyal Customer,45,Business travel,Eco Plus,3455,3,4,2,4,5,4,5,3,4,5,4,3,5,3,0,0
neutral or dissatisfied,Disloyal Customer,25,Business travel,Business,1590,3,4,3,5,4,5,4,2,4,5,3,4,4,4,0,0
neutral or dissatisfied,Loyal Customer,25,Business travel,Eco,1223,3,3,5,1,5,4,4,4,5,2,3,4,3,3,0,7
neutral or dissatisfied,Disloyal Customer,55,Business travel,Business,2192,3,2,4,4,2,2,2,2,3,3,4,5,2,2,75,87
satisfied,Loyal Customer,50,Business travel,Business,1110,3,2,3,1,4,3,4,4,5,4,4,4,5,3,1,0
neutral or dissatisfied,Disloyal Customer,50,Business travel,Eco,3042,4,3,4,2,5,3,3,1,2,3,3,1,4,1,0,0
satisfied,Loyal Customer,31,Business travel,Business,3085,4,2,4,3,3,4,5,5,2,4,5,3,5,3,0,12
satisfied,Loyal Customer,40,Business travel,Business,1070,5,3,4,5,3,3,5,3,5,5,5,5,4,5,0,0
satisfied,Loyal Customer,56,Personal Travel,Eco,2517,4,5,3,2,4,5,1,2,3,4,2,4,4,4,3,15
satisfied,Loyal Customer,18,Personal Travel,Eco,416,3,2,3,3,3,5,5,3,4,2,3,3,3,4,34,47
satisfied,Loyal Customer,56,Business travel,Business,1108,4,4,4,3,5,5,5,3,5,4,5,3,4,3,58,57
satisfied,Disloyal Customer,61,Business travel,Eco,4983,3,4,2,5,5,3,3,3,2,1,1,3,3,2,1,2
satisfied,Disloyal Customer,48,Business travel,Eco Plus,4983,2,3,2,4,2,1,4,3,3,2,1,2,3,3,0,12
neutral or dissatisfied,Disloyal Customer,7,Personal Travel,Eco,376,2,3,1,2,4,3,1,2,3,4,2,1,2,1,88,97
satisfied,Loyal Customer,31,Personal Travel,Eco,563,4,4,3,2,4,2,3,3,3,1,3,3,3,3,0,0
satisfied,Loyal Customer,38,Business travel,Business,2574,5,3,4,4,5,3,4,5,5,5,5,5,5,5,0,0
satisfied,Loyal Customer,53,Business travel,Eco,2366,5,4,3,4,2,2,3,5,4,3,4,5,2,2,0,7
satisfied,Loyal Customer,46,Business travel,Business,4983,2,1,3,4,3,5,4,4,4,5,5,4,4,5,25,31
neutral or dissatisfied,Loyal Customer,38,Personal Travel,Eco,820,4,5,4,3,2,3,2,3,3,3,2,2,5,3,0,0
satisfied,Loyal Customer,37,Business travel,Business,2467,4,2,3,3,5,3,3,4,5,4,4,4,4,4,47,60
satisfied,Loyal Customer,50,Business travel,Business,4983,4,1,5,2,4,3,5,3,4,5,4,4,5,5,0,0
neutral or dissatisfied,Loyal Customer,32,Personal Travel,Eco,716,3,3,2,3,2,3,2,3,3,2,3,4,1,2,62,70
neutral or dissatisfied,Disloyal Customer,18,Business travel,Eco,614,2,3,0,2,2,3,1,2,2,1,2,1,3,3,82,89
satisfied,Loyal Customer,36,Personal Travel,Eco,906,2,4,4,5,3,5,3,4,1,3,3,3,4,3,0,20
neutral or dissatisfied,Disloyal Customer,48,Personal Travel,Business,2497,2,1,2,2,1,4,2,2,3,1,3,2,1,2,65,71
satisfied,Loyal Customer,20,Business travel,Business,3219,5,4,4,1,5,4,5,5,3,4,4,4,5,3,0,0
neutral or dissatisfied,Disloyal Customer,44,Personal Travel,Eco,570,2,3,2,5,4,2,3,2,4,2,2,2,2,3,0,1
satisfied,Loyal Customer,31,Personal Travel,Eco,518,3,1,3,4,2,3,3,4,2,2,3,4,2,3,12,2
neutral or dissatisfied,Disloyal Customer,63,Business travel,Eco,450,3,3,3,4,3,2,4,2,2,3,3,2,3,3,0,0
neutral or dissatisfied,Loyal Customer,42,Business travel,Business,3303,3,5,3,4,5,3,3,5,3,4,3,4,4,5,18,14
neutral or dissatisfied,Loyal Customer,27,Personal Travel,Eco,663,1,1,2,2,2,1,4,4,3,4,3,3,2,2,61,54
neutral or dissatisfied,Disloyal Customer,47,Business travel,Eco,2902,3,1,2,4,3,3,1,3,2,3,3,2,2,2,61,60
satisfied,Loyal Customer,34,Business travel,Business,1555,4,4,4,4,4,5,4,3,3,5,4,5,5,5,0,5
neutral or dissatisfied,Loyal Customer,43,Business travel,Eco Plus,1006,5,4,4,5,5,3,3,4,4,3,5,4,4,3,10,32
satisfied,Loyal Customer,13,Personal Travel,Eco Plus,702,5,3,2,3,3,4,3,3,2,4,4,3,3,3,24,27
neutral or dissatisfied,Disloyal Customer,41,Business travel,Eco Plus,1698,3,3,1,4,1,4,2,1,2,3,3,3,5,3,0,30
neutral or dissatisfied,Loyal Customer,49,Business travel,Eco Plus,402,5,3,3,3,4,3,5,4,3,5,4,5,3,4,1,0
satisfied,Loyal Customer,48,Business travel,Business,4948,4,2,4,2,4,5,4,5,5,5,4,4,3,2,0,19
satisfied,Loyal Customer,28,Business travel,Business,864,4,1,4,4,4,4,4,5,4,5,4,2,4,5,0,0
satisfied,Loyal Customer,37,Business travel,Business,4414,5,4,4,3,5,2,5,3,5,3,4,4,5,4,11,9
neutral or dissatisfied,Disloyal Customer,59,Business travel,Business,1050,3,3,3,4,3,5,3,3,3,5,4,3,3,5,0,18
satisfied,Loyal Customer,42,Business travel,Business,853,4,2,4,5,3,5,5,4,4,5,4,4,4,5,8,14
satisfied,Loyal Customer,39,Business travel,Business,1705,5,3,3,2,3,4,2,3,4,4,5,5,4,4,0,0
satisfied,Loyal Customer,43,Business travel,Eco,922,4,3,3,3,3,4,2,3,4,3,4,4,4,3,0,15
satisfied,Loyal Customer,63,Business travel,Business,1006,4,4,5,2,5,4,5,3,5,5,5,4,5,5,0,4
neutral or dissatisfied,Loyal Customer,36,Personal Travel,Eco,367,4,1,4,1,3,3,2,4,4,3,3,2,2,3,11,16
satisfied,Loyal Customer,34,Business travel,Business,1234,4,4,5,2,5,3,5,4,4,4,5,5,4,5,24,11
satisfied,Loyal Customer,28,Business travel,Business,1365,4,3,5,4,3,3,5,4,5,5,4,5,4,5,0,4
satisfied,Loyal Customer,29,Business travel,Business,4983,5,2,3,4,3,3,3,4,5,5,4,5,3,5,1,0
satisfied,Disloyal Customer,7,Personal Travel,Eco,146,2,3,2,3,4,3,3,2,1,3,1,3,2,2,6,12
satisfied,Disloyal Customer,59,Personal Travel,Eco,1394,3,3,1,4,3,3,1,3,3,3,2,2,2,1,0,22
neutral or dissatisfied,Loyal Customer,33,Personal Travel,Eco,927,4,4,3,4,3,3,4,4,3,2,2,2,2,3,14,23
neutral or dissatisfied,Loyal Customer,43,Business travel,Business,3916,2,2,3,5,3,2,3,5,4,4,4,5,4,2,59,63
satisfied,Loyal Customer,18,Business travel,Eco,3356,3,2,3,5,0,2,4,4,3,2,3,4,2,3,9,25
satisfied,Loyal Customer,15,Personal Travel,Eco Plus,782,3,5,3,3,3,5,5,5,4,3,4,4,3,5,0,13
neutral or dissatisfied,Loyal Customer,31,Personal Travel,Eco,1213,2,1,3,2,3,3,3,2,4,2,3,3,1,4,50,46
satisfied,Loyal Customer,42,Personal Travel,Eco Plus,1531,4,4,3,3,1,3,4,4,3,4,3,4,3,4,0,22
neutral or dissatisfied,Disloyal Customer,31,Personal Travel,Eco,464,4,3,3,5,4,2,1,0,2,2,2,1,2,4,3,7
satisfied,Loyal Customer,30,Business travel,Business,921,5,3,4,2,5,4,4,5,5,5,5,4,5,4,7,4
satisfied,Loyal Customer,37,Personal Travel,Business,1188,4,4,2,3,4,5,4,3,4,5,4,4,4,4,0,0
satisfied,Loyal Customer,42,Business travel,Business,1381,4,4,4,4,3,4,4,4,5,4,5,5,3,4,10,16
neutral or dissatisfied,Disloyal Customer,52,Personal Travel,Eco Plus,1046,2,3,2,3,2,3,3,3,1,3,1,3,5,2,8,11
neutral or dissatisfied,Loyal Customer,21,Personal Travel,Eco,2251,2,4,4,2,1,3,3,2,4,2,3,4,4,2,0,0
neutral or dissatisfied,Loyal Customer,34,Personal Travel,Eco Plus,393,2,0,1,4,2,3,1,4,3,4,4,3,2,2,218,230
neutral or dissatisfied,Disloyal Customer,56,Personal Travel,Eco Plus,705,1,5,2,3,1,1,1,1,3,3,2,1,3,4,74,83
satisfied,Disloyal Customer,48,Business travel,Business,1446,3,4,3,4,1,4,3,3,4,4,1,2,4,4,56,60
neutral or dissatisfied,Loyal Customer,38,Personal Travel,Eco,614,5,3,4,3,4,3,3,4,2,3,3,2,4,4,0,0
neutral or dissatisfied,Loyal Customer,42,Personal Travel,Eco,1349,5,3,3,3,5,4,3,4,2,2,3,3,1,4,0,0
neutral or dissatisfied,Disloyal Customer,58,Personal Travel,Eco,559,3,2,4,4,2,1,3,2,2,2,2,2,3,4,0,0
satisfied,Loyal Customer,39,Business travel,Business,1248,5,4,3,3,3,3,5,4,3,4,3,5,4,3,0,0
neutral or dissatisfied,Loyal Customer,40,Personal Travel,Eco,1303,4,3,3,3,5,1,3,4,2,1,2,3,3,4,0,0
satisfied,Loyal Customer,62,Business travel,Business,1678,5,2,3,3,5,5,4,3,5,4,4,4,5,4,0,0
satisfied,Loyal Customer,45,Personal Travel,Eco,1632,4,3,5,1,2,5,5,3,2,4,3,5,4,5,0,0
neutral or dissatisfied,Loyal Customer,9,Personal Travel,Eco Plus,1509,3,3,4,4,3,4,4,2,2,1,5,5,2,4,0,0
satisfied,Loyal Customer,38,Personal Travel,Business,1474,5,3,2,4,3,3,3,2,3,3,5,3,4,5,27,31
satisfied,Loyal Customer,23,Business travel,Business,2124,3,3,3,3,5,5,4,4,4,4,3,4,5,3,44,47
satisfied,Loyal Customer,38,Personal Travel,Eco Plus,309,4,3,4,3,1,3,5,4,3,4,3,3,4,4,0,0
satisfied,Disloyal Customer,44,Business travel,Business,2518,3,4,4,4,3,4,3,5,5,4,4,4,5,4,0,0
satisfied,Loyal Customer,50,Business travel,Eco,1179,3,0,3,3,2,2,3,3,5,5,3,3,3,3,21,17
neutral or dissatisfied,Loyal Customer,56,Business travel,Eco Plus,1471,4,2,4,2,0,3,2,2,4,3,2,3,3,2,320,327
satisfied,Loyal Customer,48,Personal Travel,Eco,2130,3,5,3,2,2,3,4,3,2,4,3,3,2,4,14,32
satisfied,Loyal Customer,54,Business travel,Business,3506,5,2,4,3,5,5,5,5,5,4,5,4,4,2,2,0
satisfied,Loyal Customer,26,Personal Travel,Eco,725,2,1,5,3,4,3,4,5,3,1,4,4,4,4,0,0
satisfied,Loyal Customer,51,Business travel,Business,3332,5,3,2,5,5,4,5,3,5,4,4,4,4,5,0,0
neutral or dissatisfied,Loyal Customer,34,Personal Travel,Eco,381,5,3,3,4,1,5,3,3,4,3,3,3,3,3,14,16
satisfied,Loyal Customer,39,Business travel,Business,1564,4,2,2,3,4,5,4,3,3,2,4,3,5,3,82,89
satisfied,Loyal Customer,39,Business travel,Business,1563,4,4,3,4,4,5,5,5,4,3,3,5,4,4,0,0
neutral or dissatisfied,Loyal Customer,51,Business travel,Eco,937,3,4,4,5,1,3,4,3,3,3,3,4,4,4,0,0
satisfied,Loyal Customer,47,Business travel,Eco,2473,2,3,3,4,4,4,3,2,4,4,4,2,2,3,0,0
neutral or dissatisfied,Loyal Customer,45,Business travel,Business,2138,4,4,5,5,3,5,4,3,4,4,3,4,5,3,60,64
satisfied,Loyal Customer,29,Business travel,Eco,1655,3,3,3,5,3,3,4,3,4,2,2,3,4,4,0,12
neutral or dissatisfied,Loyal Customer,34,Business travel,Eco,2312,2,3,3,3,3,4,4,4,3,3,2,2,3,4,0,0
neutral or dissatisfied,Loyal Customer,47,Personal Travel,Eco,1546,4,3,4,5,4,3,4,3,3,2,3,3,2,2,10,11
neutral or dissatisfied,Loyal Customer,20,Personal Travel,Eco,1379,3,4,2,2,1,4,3,4,2,3,2,4,4,4,0,0
satisfied,Loyal Customer,31,Business travel,Business,2457,3,4,3,4,4,4,5,5,5,5,5,3,5,5,0,21
satisfied,Disloyal Customer,41,Business travel,Business,2464,4,1,4,2,3,5,3,5,4,4,3,3,4,3,2,2
satisfied,Loyal Customer,32,Business travel,Eco Plus,3944,4,5,3,3,2,5,4,4,4,5,3,4,2,5,18,26
satisfied,Loyal Customer,47,Business travel,Business,1557,5,1,4,2,2,5,5,4,5,5,4,4,4,4,44,40
satisfied,Loyal Customer,18,Business travel,Business,2267,2,2,2,3,5,4,2,3,4,3,4,4,4,5,71,76
satisfied,Loyal Customer,61,Business travel,Eco Plus,901,3,4,3,5,3,3,4,2,3,4,4,4,2,4,22,38
neutral or dissatisfied,Loyal Customer,41,Business travel,Business,1277,2,3,3,3,4,4,5,5,4,4,4,5,4,5,0,3
satisfied,Loyal Customer,34,Personal Travel,Eco,643,3,2,4,4,4,3,5,4,2,3,3,4,4,4,0,15
satisfied,Loyal Customer,27,Business travel,Eco Plus,1343,5,4,4,4,3,4,4,4,5,4,4,4,3,5,0,15
neutral or dissatisfied,Disloyal Customer,36,Business travel,Eco Plus,533,2,3,3,3,1,3,3,3,3,3,2,1,3,4,0,11
satisfied,Loyal Customer,56,Personal Travel,Business,1221,4,4,4,3,3,4,5,4,5,4,4,4,5,4,16,17
neutral or dissatisfied,Disloyal Customer,51,Personal Travel,Eco,480,2,4,2,2,4,2,0,3,5,1,2,2,2,3,0,0
satisfied,Loyal Customer,24,Business travel,Eco Plus,861,4,3,4,3,3,2,4,4,3,5,4,3,4,3,0,0
satisfied,Loyal Customer,43,Business travel,Eco,1551,2,5,3,5,2,4,4,3,4,4,5,3,5,4,0,0
satisfied,Disloyal Customer,41,Business travel,Business,1693,4,4,4,2,4,5,3,4,5,3,4,3,4,5,0,4
satisfied,Loyal Customer,53,Personal Travel,Business,1531,5,5,3,3,5,3,5,3,5,5,5,4,4,5,0,0
satisfied,Loyal Customer,76,Personal Travel,Eco Plus,1480,4,3,3,2,3,4,4,5,4,3,3,4,3,5,0,0
neutral or dissatisfied,Loyal Customer,22,Personal Travel,Eco Plus,824,3,4,2,2,2,1,4,3,5,5,4,4,4,4,0,6
satisfied,Loyal Customer,31,Business travel,Business,4983,4,3,5,1,4,3,5,4,5,4,5,4,4,4,0,0
satisfied,Loyal Customer,57,Personal Travel,Eco,2322,2,3,2,3,3,3,4,3,4,3,3,2,3,4,10,3
satisfied,Loyal Customer,52,Business travel,Business,2971,4,3,4,3,1,4,4,4,4,2,3,3,5,5,0,10
satisfied,Loyal Customer,31,Personal Travel,Eco,641,5,4,3,3,3,3,3,4,5,4,4,3,4,4,0,0
satisfied,Loyal Customer,40,Personal Travel,Business,1246,5,2,3,2,3,5,5,4,5,4,4,5,3,4,0,12
neutral or dissatisfied,Disloyal Customer,24,Business travel,Eco,2426,4,4,2,2,0,4,3,2,3,4,2,0,4,4,0,18
satisfied,Loyal Customer,38,Business travel,Business,2201,4,4,3,5,2,5,5,4,3,5,5,3,4,4,0,0
neutral or dissatisfied,Disloyal Customer,44,Business travel,Eco,1607,2,1,1,3,2,2,2,2,1,1,3,1,1,0,125,133
satisfied,Loyal Customer,44,Business travel,Eco,1886,2,4,2,3,5,4,3,3,3,3,4,3,2,3,0,0
satisfied,Loyal Customer,46,Business travel,Eco Plus,1391,4,3,3,5,2,2,5,2,4,4,4,3,5,4,0,0
neutral or dissatisfied,Loyal Customer,37,Business travel,Business,1981,5,4,4,4,4,3,4,2,4,4,4,5,3,3,1,0
satisfied,Loyal Customer,23,Personal Travel,Eco,883,3,2,2,5,2,2,3,3,3,3,3,2,2,4,18,18
satisfied,Disloyal Customer,21,Personal Travel,Business,2021,4,3,2,3,3,4,2,4,5,3,4,4,4,4,3,4
satisfied,Loyal Customer,26,Business travel,Eco Plus,737,3,4,3,4,4,4,4,4,4,4,4,5,3,4,0,3
satisfied,Loyal Customer,60,Business travel,Business,1019,4,2,4,4,3,3,5,5,4,4,4,4,5,5,0,16
neutral or dissatisfied,Disloyal Customer,32,Personal Travel,Eco Plus,461,3,2,5,4,4,4,3,3,3,3,4,2,3,3,0,0
satisfied,Loyal Customer,20,Business travel,Business,1325,4,3,2,4,3,5,3,3,5,4,4,5,4,4,0,1
satisfied,Loyal Customer,33,Personal Travel,Eco,1426,4,3,4,4,1,3,5,3,4,5,3,4,2,2,0,3
satisfied,Loyal Customer,34,Business travel,Eco,4062,5,3,4,4,3,5,4,4,4,3,3,4,3,3,11,0
satisfied,Loyal Customer,42,Business travel,Eco,2004,3,3,3,2,3,4,4,3,3,2,2,5,5,2,0,0
neutral or dissatisfied,Loyal Customer,56,Business travel,Eco,2828,3,4,4,3,3,2,4,4,3,2,3,3,3,4,0,0
neutral or dissatisfied,Loyal Customer,64,Personal Travel,Eco,2244,4,2,5,4,2,2,3,2,3,3,3,5,4,4,0,4
satisfied,Loyal Customer,41,Personal Travel,Eco,947,3,3,4,2,2,2,5,3,3,2,4,4,4,2,20,18
satisfied,Loyal Customer,29,Business travel,Business,1233,5,3,3,3,4,5,5,4,4,4,3,4,5,5,0,1
satisfied,Loyal Customer,34,Business travel,Business,3545,5,4,4,3,3,3,5,4,5,5,4,4,5,5,4,11
neutral or dissatisfied,Loyal Customer,15,Personal Travel,Eco,231,3,3,3,2,5,4,1,4,3,3,3,2,3,3,0,0
satisfied,Loyal Customer,21,Business travel,Eco,777,3,4,3,1,5,4,3,3,5,3,4,4,5,4,0,0
neutral or dissatisfied,Loyal Customer,46,Personal Travel,Eco,832,1,3,3,5,1,3,3,3,3,3,3,3,4,3,22,25
satisfied,Disloyal Customer,28,Business travel,Business,1975,3,3,5,2,2,4,4,3,5,5,4,4,5,4,0,0
satisfied,Disloyal Customer,46,Business travel,Eco Plus,3111,3,5,2,3,1,3,1,2,4,3,4,3,4,5,0,0
satisfied,Loyal Customer,22,Personal Travel,Business,283,5,1,4,3,3,2,5,3,5,5,5,5,4,5,23,39
satisfied,Disloyal Customer,41,Personal Travel,Eco,1438,2,3,1,3,4,4,2,2,3,3,3,2,2,4,0,24
neutral or dissatisfied,Loyal Customer,23,Business travel,Business,1982,4,3,3,3,1,3,4,4,3,5,3,3,4,3,57,67
neutral or dissatisfied,Disloyal Customer,47,Personal Travel,Eco,605,2,4,3,4,4,2,4,3,3,1,2,3,3,3,7,0
satisfied,Loyal Customer,22,Business travel,Business,1019,5,4,4,3,3,4,3,5,3,4,5,5,5,4,0,8
neutral or dissatisfied,Loyal Customer,33,Personal Travel,Eco,3021,3,1,4,2,3,2,1,3,2,1,3,2,3,2,73,91
satisfied,Loyal Customer,26,Personal Travel,Eco Plus,476,4,4,2,1,3,5,5,2,3,4,4,4,3,5,0,38
neutral or dissatisfied,Loyal Customer,63,Business travel,Business,4688,4,5,4,4,3,4,4,4,3,5,4,5,5,5,0,12
neutral or dissatisfied,Disloyal Customer,54,Business travel,Business,978,4,4,4,5,3,3,3,4,5,4,2,5,4,3,0,0
neutral or dissatisfied,Loyal Customer,34,Business travel,Eco,2129,3,2,3,2,2,4,3,3,3,2,5,3,4,3,0,8
satisfied,Loyal Customer,27,Personal Travel,Business,2484,5,4,5,3,5,4,3,5,4,4,5,4,5,5,20,20
neutral or dissatisfied,Loyal Customer,43,Business travel,Eco,3562,2,2,3,4,2,3,2,3,3,3,3,3,2,4,31,50
neutral or dissatisfied,Loyal Customer,56,Business travel,Eco,1968,4,5,3,4,4,3,3,3,3,3,5,2,4,3,0,0
neutral or dissatisfied,Loyal Customer,27,Personal Travel,Eco Plus,1752,5,3,3,2,4,5,3,5,4,5,4,4,3,4,0,0
satisfied,Loyal Customer,42,Business travel,Eco,2986,3,4,3,4,3,4,4,3,3,3,3,4,4,4,0,0
neutral or dissatisfied,Loyal Customer,65,Business travel,Business,977,5,3,4,3,5,3,5,4,5,4,5,5,4,5,12,19
neutral or dissatisfied,Disloyal Customer,37,Personal Travel,Eco,601,1,1,3,3,1,2,1,2,1,1,2,2,1,1,31,36
satisfied,Loyal Customer,33,Business travel,Business,617,4,3,3,4,4,4,4,3,4,4,4,5,5,4,0,2
neutral or dissatisfied,Disloyal Customer,12,Personal Travel,Eco,977,4,2,1,4,2,3,4,2,2,3,4,4,3,1,0,2
neutral or dissatisfied,Loyal Customer,40,Business travel,Business,1506,3,4,3,3,3,4,4,4,4,5,5,4,4,4,0,8
satisfied,Loyal Customer,18,Business travel,Eco,1028,3,3,4,3,5,3,2,4,3,4,3,4,3,3,0,0
neutral or dissatisfied,Disloyal Customer,16,Personal Travel,Eco Plus,383,3,3,3,1,1,4,4,2,4,4,3,1,4,3,0,0
neutral or dissatisfied,Disloyal Customer,30,Business travel,Business,1372,5,5,3,3,3,5,3,4,4,3,2,5,4,1,0,0
satisfied,Loyal Customer,38,Business travel,Business,1697,5,5,5,4,5,4,5,5,5,4,5,3,5,5,0,0
satisfied,Disloyal Customer,61,Personal Travel,Eco,1774,1,3,3,3,1,3,2,1,3,2,3,3,4,3,0,5
satisfied,Loyal Customer,62,Personal Travel,Eco,1283,3,3,5,5,4,3,3,5,3,3,3,5,4,1,0,15
satisfied,Loyal Customer,43,Business travel,Business,510,5,4,4,3,4,5,4,4,4,4,5,5,5,4,0,10
satisfied,Loyal Customer,51,Business travel,Business,1006,5,4,4,3,3,4,3,4,3,5,5,3,5,4,23,19
neutral or dissatisfied,Disloyal Customer,49,Business travel,Eco,4983,3,3,3,3,1,3,2,4,3,3,3,1,2,4,0,2
satisfied,Loyal Customer,42,Business travel,Business,1422,4,3,5,5,5,5,5,3,4,5,3,3,5,4,0,7
neutral or dissatisfied,Disloyal Customer,41,Personal Travel,Eco,1068,2,3,1,2,3,2,1,2,2,1,2,1,1,1,69,79
satisfied,Disloyal Customer,28,Personal Travel,Eco,1524,4,4,3,4,1,4,2,4,2,1,2,4,4,1,5,5
neutral or dissatisfied,Disloyal Customer,34,Personal Travel,Eco,642,2,3,2,4,1,2,1,3,4,1,2,3,3,3,0,3
satisfied,Loyal Customer,68,Personal Travel,Eco,400,4,3,1,4,2,4,5,3,3,1,3,4,3,4,1,14
satisfied,Loyal Customer,34,Personal Travel,Business,506,3,5,2,3,5,5,4,4,2,3,3,5,4,4,0,8
neutral or dissatisfied,Disloyal Customer,40,Business travel,Business,1257,2,3,2,3,2,3,4,3,5,5,4,3,3,4,0,0
satisfied,Loyal Customer,48,Business travel,Business,1591,4,2,4,5,3,4,5,5,5,5,5,4,4,5,0,12
satisfied,Loyal Customer,46,Business travel,Business,3018,3,2,4,4,4,5,3,5,4,4,4,5,5,5,23,32
neutral or dissatisfied,Disloyal Customer,21,Business travel,Eco,2082,2,4,3,5,1,5,2,3,2,4,4,2,2,2,0,0
satisfied,Disloyal Customer,46,Business travel,Eco,1396,2,4,3,4,2,3,2,3,3,3,2,2,3,5,0,0
neutral or dissatisfied,Loyal Customer,58,Business travel,Eco Plus,4038,4,4,2,3,2,3,4,4,2,4,5,5,4,3,0,13
neutral or dissatisfied,Loyal Customer,44,Personal Travel,Eco,589,3,4,2,2,2,3,2,3,3,1,2,3,2,3,254,255
satisfied,Loyal Customer,51,Business travel,Business,2243,4,4,5,4,3,5,5,4,5,5,5,3,4,4,0,2
satisfied,Loyal Customer,57,Business travel,Business,3074,4,5,5,2,4,5,4,5,3,4,4,5,4,5,0,0
satisfied,Loyal Customer,38,Personal Travel,Eco,4245,4,3,3,4,4,3,3,3,3,3,3,5,4,2,8,2
satisfied,Loyal Customer,42,Business travel,Eco Plus,1395,4,5,3,2,5,2,3,3,3,4,4,4,3,5,0,1
satisfied,Loyal Customer,43,Personal Travel,Eco,885,3,3,4,5,3,4,4,2,2,3,3,2,3,3,3,13
neutral or dissatisfied,Loyal Customer,63,Personal Travel,Eco,973,3,2,3,3,2,3,3,3,4,2,2,1,2,4,19,16
satisfied,Loyal Customer,57,Business travel,Business,3966,4,4,3,5,3,3,5,3,5,5,5,4,5,4,0,1
neutral or dissatisfied,Loyal Customer,41,Personal Travel,Eco,900,3,3,0,4,5,3,5,1,3,3,3,4,3,3,0,12
satisfied,Loyal Customer,54,Business travel,Business,1294,4,2,3,2,4,5,5,3,5,5,3,5,5,3,41,44
satisfied,Loyal Customer,68,Personal Travel,Eco,567,3,2,2,3,3,4,3,4,3,3,4,3,3,3,0,11
satisfied,Loyal Customer,32,Personal Travel,Eco,587,3,5,3,5,4,3,3,3,3,3,4,3,2,5,0,0
satisfied,Loyal Customer,52,Business travel,Eco,4054,3,5,3,2,1,4,5,2,4,2,3,3,4,5,0,21
satisfied,Loyal Customer,54,Business travel,Business,2097,4,2,4,5,5,5,4,4,5,5,5,5,4,4,0,7
satisfied,Loyal Customer,26,Business travel,Business,1094,5,4,3,3,3,4,5,4,5,4,5,5,4,4,0,4
neutral or dissatisfied,Disloyal Customer,33,Business travel,Business,2632,4,4,3,3,5,3,3,4,5,4,4,4,3,4,0,2
satisfied,Loyal Customer,25,Personal Travel,Eco Plus,1407,3,3,3,5,4,4,4,2,4,3,5,5,5,4,0,0
neutral or dissatisfied,Disloyal Customer,53,Business travel,Business,1470,4,2,3,4,3,3,4,3,5,2,4,3,4,3,0,0
satisfied,Loyal Customer,31,Business travel,Eco Plus,2065,4,3,3,4,3,3,4,4,3,3,4,3,3,5,0,17
